symbol,iap,iav
1382,1777.0000,300
1417,2213.0000,24800
1433,912.0000,600
1444,2858.0000,200
1452,0.0000,0
145A,709.0000,100
1491,29.0000,29500
152A,0.0000,0
153A,1418.0000,2500
154A,0.0000,0
158A,0.0000,0
1770,0.0000,0
1776,1111.0000,1300
1795,3880.0000,200
1815,2370.0000,1200
1879,1545.0000,1300
1899,5660.0000,700
1969,5265.0000,22300
1972,4015.0000,800
1973,3250.0000,203800
198A,675.0000,2000
205A,2105.0000,2400
206A,352.0000,3400
2127,674.6000,145600
2148,1585.0000,6100
2164,326.0000,600
2179,768.0000,800
2193,171.0000,39900
2211,2649.0000,50800
2226,5080.0000,700
2282,4270.0000,65000
2300,518.0000,300
2373,405.0000,1100
2379,2635.0000,8200
2397,731.0000,100
2410,1786.0000,300
2437,266.0000,10900
2481,0.0000,0
2531,1190.0000,15600
262A,2110.0000,14600
2673,96.0000,800
2681,1519.0000,6700
2708,1813.0000,100
2733,3445.0000,1000
2751,3210.0000,700
2763,1095.0000,700
2874,910.0000,3700
2883,1900.0000,400
2884,1344.0000,5800
2901,823.0000,23900
2922,2103.0000,1300
2936,514.0000,157300
2992,0.0000,0
2994,0.0000,0
3034,1375.0000,11700
3042,286.0000,1300
3070,112.0000,19200
3073,1384.0000,2400
3104,4680.0000,1700
3116,2007.0000,23300
3156,2609.0000,800
3178,1245.0000,3800
3197,2359.5000,209000
3245,844.0000,5100
3328,2863.0000,2800
3392,510.0000,1600
3416,1058.0000,500
3434,1157.0000,1400
3437,2261.0000,300
3445,3895.0000,2600
3496,5650.0000,1100
3542,750.0000,1600
3550,187.0000,300
3551,740.0000,1200
3600,0.0000,0
3635,1594.5000,15300
3663,1216.0000,9200
3667,171.0000,66900
3726,470.0000,900
3738,2668.0000,7900
3840,120.0000,6000
3895,533.0000,1200
3901,2680.0000,1200
3907,803.0000,300
3954,0.0000,0
3961,0.0000,0
3962,1226.0000,12400
4042,1948.0000,84100
4055,1690.0000,600
4061,2165.0000,14200
4237,298.0000,3100
4251,1030.0000,4900
4258,2697.0000,700
4264,1849.0000,1400
4275,1250.0000,5100
4323,1825.0000,200
4350,413.0000,900
4361,0.0000,0
4374,2229.0000,100
4376,248.0000,1200
4378,712.0000,200
4385,2120.0000,102100
4390,2400.0000,300
4391,1244.0000,100
4403,2482.0000,27500
4406,188.0000,1600
4443,2230.0000,13000
4485,3585.0000,11500
4488,3390.0000,200
4521,3890.0000,1600
4536,1755.0000,56800
4576,69.0000,7200
4596,60.0000,11200
4612,1119.5000,182400
4627,1350.0000,300
4644,1004.0000,400
4666,1880.0000,31600
4673,0.0000,0
4674,1234.0000,800
4678,262.0000,5800
4735,403.0000,200
4762,1374.0000,100
4792,2095.0000,1000
4800,830.0000,1300
4809,1773.0000,700
4839,1003.0000,2400
4891,196.0000,4300
